epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2935.58,1.08372,1.52577,1.40184,0.47427,0.42833,0.42382,0.31062,1.05622,1.43638,1.40579,0.005743,0.005743,0.005743
45,2998.37,1.07822,1.51277,1.39473,0.50636,0.42934,0.4317,0.31649,1.05034,1.41891,1.39948,0.005644,0.005644,0.005644
46,3061.26,1.0671,1.49645,1.38866,0.47192,0.43934,0.43014,0.31738,1.0457,1.40738,1.3954,0.005545,0.005545,0.005545
47,3124.19,1.06398,1.48072,1.38704,0.4805,0.43975,0.43621,0.32272,1.04283,1.38809,1.3882,0.005446,0.005446,0.005446
48,3186.97,1.06183,1.47814,1.3824,0.51959,0.43048,0.4417,0.32612,1.03438,1.38785,1.38029,0.005347,0.005347,0.005347
49,3249.87,1.05528,1.45488,1.37445,0.48568,0.4485,0.44107,0.32551,1.03123,1.37964,1.3792,0.005248,0.005248,0.005248
50,3312.63,1.05615,1.45066,1.37441,0.47012,0.4551,0.44659,0.32954,1.03328,1.36779,1.37834,0.005149,0.005149,0.005149
51,3375.48,1.04134,1.4336,1.36033,0.50008,0.43783,0.45043,0.33178,1.03074,1.35792,1.37396,0.00505,0.00505,0.00505
52,3438.22,1.05503,1.43614,1.37057,0.4984,0.44773,0.4521,0.33481,1.02521,1.35134,1.37121,0.004951,0.004951,0.004951
53,3500.99,1.04057,1.42007,1.35844,0.49473,0.45589,0.45085,0.33447,1.02635,1.34935,1.3652,0.004852,0.004852,0.004852
54,3563.82,1.03325,1.40224,1.35225,0.50634,0.45395,0.45231,0.33473,1.0243,1.34037,1.36482,0.004753,0.004753,0.004753
55,3626.52,1.03262,1.39679,1.3547,0.52911,0.44785,0.45657,0.33832,1.02757,1.34064,1.36765,0.004654,0.004654,0.004654
56,3689.19,1.02401,1.3754,1.34408,0.50626,0.45601,0.46292,0.34349,1.01375,1.32623,1.35755,0.004555,0.004555,0.004555
57,3752.03,1.02729,1.37354,1.34572,0.53872,0.45254,0.46611,0.34552,1.01694,1.31747,1.36043,0.004456,0.004456,0.004456
58,3814.65,1.01887,1.36292,1.34013,0.51862,0.45402,0.4626,0.34283,1.01668,1.32839,1.36252,0.004357,0.004357,0.004357
59,3877.36,1.01718,1.35625,1.33802,0.52595,0.44874,0.46564,0.34527,1.01698,1.31514,1.36032,0.004258,0.004258,0.004258
60,3940.16,1.0161,1.34742,1.33659,0.50658,0.46778,0.4664,0.34597,1.01521,1.31748,1.35949,0.004159,0.004159,0.004159
